Time                             R       Lat       Lon
2022-01-12/01:18:40          10.77     2.248     299.3
2022-01-12/01:18:50          10.77     2.252     299.4
2022-01-12/01:19:00          10.76     2.256     299.5
2022-01-12/01:19:10          10.76     2.260     299.6
2022-01-12/01:19:20          10.76     2.264     299.7
2022-01-12/01:19:30          10.76     2.268     299.8
2022-01-12/01:19:40          10.76     2.273     299.9
2022-01-12/01:19:50          10.75     2.277     300.0
2022-01-12/01:20:00          10.75     2.281     300.1
2022-01-12/01:20:10          10.75     2.285     300.2
2022-01-12/01:20:20          10.75     2.289     300.3
2022-01-12/01:20:30          10.74     2.293     300.4
2022-01-12/01:20:40          10.74     2.297     300.5
2022-01-12/01:20:50          10.74     2.301     300.6
2022-01-12/01:21:00          10.74     2.305     300.7
2022-01-12/01:21:10          10.74     2.310     300.8
2022-01-12/01:21:20          10.73     2.314     300.9
2022-01-12/01:21:30          10.73     2.318     301.0
2022-01-12/01:21:40          10.73     2.322     301.1
2022-01-12/01:21:50          10.73     2.326     301.2
2022-01-12/01:22:00          10.72     2.330     301.3
2022-01-12/01:22:10          10.72     2.334     301.4
2022-01-12/01:22:20          10.72     2.338     301.5
2022-01-12/01:22:30          10.72     2.343     301.6
2022-01-12/01:22:40          10.71     2.347     301.8
2022-01-12/01:22:50          10.71     2.351     301.9
2022-01-12/01:23:00          10.71     2.355     302.0
2022-01-12/01:23:10          10.71     2.359     302.1
2022-01-12/01:23:20          10.71     2.363     302.2
2022-01-12/01:23:30          10.70     2.367     302.3
2022-01-12/01:23:40          10.70     2.372     302.4
2022-01-12/01:23:50          10.70     2.376     302.5
2022-01-12/01:24:00          10.70     2.380     302.6
2022-01-12/01:24:10          10.69     2.384     302.7
2022-01-12/01:24:20          10.69     2.388     302.8
2022-01-12/01:24:30          10.69     2.392     302.9
2022-01-12/01:24:40          10.69     2.396     303.0
2022-01-12/01:24:50          10.69     2.401     303.1
2022-01-12/01:25:00          10.68     2.405     303.2
2022-01-12/01:25:10          10.68     2.409     303.3
2022-01-12/01:25:20          10.68     2.413     303.4
2022-01-12/01:25:30          10.68     2.417     303.5
2022-01-12/01:25:40          10.67     2.421     303.6
2022-01-12/01:25:50          10.67     2.426     303.7
2022-01-12/01:26:00          10.67     2.430     303.8
2022-01-12/01:26:10          10.67     2.434     303.9
2022-01-12/01:26:20          10.66     2.438     304.0
2022-01-12/01:26:30          10.66     2.442     304.1
2022-01-12/01:26:40          10.66     2.446     304.2
2022-01-12/01:26:50          10.66     2.451     304.3
2022-01-12/01:27:00          10.66     2.455     304.4
2022-01-12/01:27:10          10.65     2.459     304.5
2022-01-12/01:27:20          10.65     2.463     304.6
2022-01-12/01:27:30          10.65     2.467     304.7
2022-01-12/01:27:40          10.65     2.472     304.8
2022-01-12/01:27:50          10.64     2.476     304.9
2022-01-12/01:28:00          10.64     2.480     305.0
2022-01-12/01:28:10          10.64     2.484     305.1
2022-01-12/01:28:20          10.64     2.488     305.2
2022-01-12/01:28:30          10.63     2.493     305.3
2022-01-12/01:28:40          10.63     2.497     305.4
2022-01-12/01:28:50          10.63     2.501     305.5
2022-01-12/01:29:00          10.63     2.505     305.6
2022-01-12/01:29:10          10.63     2.509     305.7
2022-01-12/01:29:20          10.62     2.514     305.8
2022-01-12/01:29:30          10.62     2.518     305.9
2022-01-12/01:29:40          10.62     2.522     306.0
2022-01-12/01:29:50          10.62     2.526     306.1
2022-01-12/01:30:00          10.61     2.530     306.2
2022-01-12/01:30:10          10.61     2.535     306.3
2022-01-12/01:30:20          10.61     2.539     306.4
2022-01-12/01:30:30          10.61     2.543     306.5
2022-01-12/01:30:40          10.61     2.547     306.6
2022-01-12/01:30:50          10.60     2.551     306.7
2022-01-12/01:31:00          10.60     2.556     306.8
2022-01-12/01:31:10          10.60     2.560     306.9
2022-01-12/01:31:20          10.60     2.564     307.0
2022-01-12/01:31:30          10.59     2.568     307.1
2022-01-12/01:31:40          10.59     2.573     307.2
2022-01-12/01:31:50          10.59     2.577     307.3
2022-01-12/01:32:00          10.59     2.581     307.4
