Time                           Lat
2022-01-12/09:02:00         -65.44
2022-01-12/09:03:00         -65.40
2022-01-12/09:04:00         -65.36
2022-01-12/09:05:00         -65.32
2022-01-12/09:06:00         -65.27
2022-01-12/09:07:00         -65.23
2022-01-12/09:08:00         -65.19
2022-01-12/09:09:00         -65.15
2022-01-12/09:10:00         -65.10
2022-01-12/09:11:00         -65.06
2022-01-12/09:12:00         -65.02
2022-01-12/09:13:00         -64.98
2022-01-12/09:14:00         -64.94
2022-01-12/09:15:00         -64.90
2022-01-12/09:16:00         -64.86
2022-01-12/09:17:00         -64.81
2022-01-12/09:18:00         -64.77
2022-01-12/09:19:00         -64.73
2022-01-12/09:20:00         -64.69
2022-01-12/09:21:00         -64.65
2022-01-12/09:22:00         -64.61
2022-01-12/09:23:00         -64.57
2022-01-12/09:24:00         -64.53
2022-01-12/09:25:00         -64.49
2022-01-12/09:26:00         -64.46
2022-01-12/09:27:00         -64.42
2022-01-12/09:28:00         -64.38
2022-01-12/09:29:00         -64.34
2022-01-12/09:30:00         -64.30
2022-01-12/09:31:00         -64.26
2022-01-12/09:32:00         -64.22
2022-01-12/09:33:00         -64.18
2022-01-12/09:34:00         -64.15
2022-01-12/09:35:00         -64.11
2022-01-12/09:36:00         -64.07
2022-01-12/09:37:00         -64.03
2022-01-12/09:38:00         -64.00
2022-01-12/09:39:00         -63.96
2022-01-12/09:40:00         -63.92
2022-01-12/09:41:00         -63.89
2022-01-12/09:42:00         -63.85
2022-01-12/09:43:00         -63.81
2022-01-12/09:44:00         -63.78
2022-01-12/09:45:00         -63.74
2022-01-12/09:46:00         -63.70
2022-01-12/09:47:00         -63.67
2022-01-12/09:48:00         -63.63
2022-01-12/09:49:00         -63.60
2022-01-12/09:50:00         -63.56
2022-01-12/09:51:00         -63.53
2022-01-12/09:52:00         -63.49
2022-01-12/09:53:00         -63.46
2022-01-12/09:54:00         -63.42
2022-01-12/09:55:00         -63.39
2022-01-12/09:56:00         -63.36
2022-01-12/09:57:00         -63.32
2022-01-12/09:58:00         -63.29
2022-01-12/09:59:00         -63.25
2022-01-12/10:00:00         -63.22
2022-01-12/10:01:00         -63.19
2022-01-12/10:02:00         -63.15
2022-01-12/10:03:00         -63.12
2022-01-12/10:04:00         -63.09
2022-01-12/10:05:00         -63.05
2022-01-12/10:06:00         -63.02
2022-01-12/10:07:00         -62.99
2022-01-12/10:08:00         -62.96
2022-01-12/10:09:00         -62.92
2022-01-12/10:10:00         -62.89
2022-01-12/10:11:00         -62.86
2022-01-12/10:12:00         -62.83
2022-01-12/10:13:00         -62.80
2022-01-12/10:14:00         -62.77
2022-01-12/10:15:00         -62.73
