                    time         Energy    pitch_angle            Daa
2022-01-12/04:02:45      5.041e-05     70.00     0.000
2022-01-12/04:02:45      5.041e-05     72.00     0.000
2022-01-12/04:02:45      5.041e-05     74.00     0.000
2022-01-12/04:02:45      5.041e-05     76.00     0.000
2022-01-12/04:02:45      5.041e-05     78.00     0.000
2022-01-12/04:02:45      5.041e-05     80.00     0.000
2022-01-12/04:02:45      5.041e-05     82.00     0.000
2022-01-12/04:02:45      5.041e-05     84.00     0.000
2022-01-12/04:02:45      5.041e-05     85.00     0.000
2022-01-12/04:02:45      5.041e-05     86.00     0.000
2022-01-12/04:02:45      5.041e-05     87.00     0.000
2022-01-12/04:02:45      5.041e-05     88.00     0.000
2022-01-12/04:02:45      5.041e-05     89.00     0.000
2022-01-12/04:02:45      5.041e-05     89.50     0.000
2022-01-12/04:02:45      5.951e-05     2.000 2.905e-08
2022-01-12/04:02:45      5.951e-05     5.000 3.031e-08
2022-01-12/04:02:45      5.951e-05     8.000 3.254e-08
2022-01-12/04:02:45      5.951e-05     11.00 3.494e-08
2022-01-12/04:02:45      5.951e-05     14.00 3.780e-08
2022-01-12/04:02:45      5.951e-05     17.00 4.015e-08
2022-01-12/04:02:45      5.951e-05     20.00 4.201e-08
2022-01-12/04:02:45      5.951e-05     23.00 4.307e-08
2022-01-12/04:02:45      5.951e-05     26.00 4.344e-08
2022-01-12/04:02:45      5.951e-05     29.00 4.315e-08
2022-01-12/04:02:45      5.951e-05     32.00 4.232e-08
2022-01-12/04:02:45      5.951e-05     35.00 4.123e-08
2022-01-12/04:02:45      5.951e-05     38.00 4.033e-08
2022-01-12/04:02:45      5.951e-05     41.00 3.956e-08
2022-01-12/04:02:45      5.951e-05     44.00 3.884e-08
2022-01-12/04:02:45      5.951e-05     47.00 3.919e-08
2022-01-12/04:02:45      5.951e-05     50.00 4.110e-08
2022-01-12/04:02:45      5.951e-05     52.00 4.357e-08
2022-01-12/04:02:45      5.951e-05     54.00 4.721e-08
2022-01-12/04:02:45      5.951e-05     56.00 3.239e-08
