Time                          Flux_prec
2022-01-12/06:20:15          54.09
2022-01-12/06:20:45          64.13
2022-01-12/06:21:15          43.59
2022-01-12/06:21:45          40.11
2022-01-12/06:22:15          47.65
2022-01-12/06:22:45          47.03
2022-01-12/06:23:15          51.71
2022-01-12/06:23:45          57.45
2022-01-12/06:24:15          48.78
2022-01-12/06:24:45          44.98
2022-01-12/06:25:15          33.53
2022-01-12/06:25:45          37.27
2022-01-12/06:26:15          25.40
2022-01-12/06:26:45          24.31
2022-01-12/06:27:15          18.55
2022-01-12/06:27:45          11.63
2022-01-12/06:28:15          7.594
2022-01-12/06:28:45          0.000
2022-01-12/06:29:15          14.46
2022-01-12/06:29:45          35.57
2022-01-12/06:30:15          6.885
2022-01-12/06:30:45          8.788
2022-01-12/06:31:15          14.78
2022-01-12/06:31:45          13.39
2022-01-12/06:32:15          21.54
2022-01-12/06:32:45          14.13
2022-01-12/06:33:15          9.464
2022-01-12/06:33:45          19.07
2022-01-12/06:34:15          11.36
2022-01-12/06:34:45          31.66
2022-01-12/06:35:15          23.81
2022-01-12/06:35:45          32.94
2022-01-12/06:36:15          38.65
2022-01-12/06:36:45          47.24
2022-01-12/06:37:15          54.50
2022-01-12/06:37:45          57.68
2022-01-12/06:38:15          51.19
2022-01-12/06:38:45          46.83
2022-01-12/06:39:15          37.71
2022-01-12/06:39:45          38.25
2022-01-12/06:40:15          34.92
2022-01-12/06:40:45          25.64
2022-01-12/06:41:15          20.56
2022-01-12/06:41:45          21.81
2022-01-12/06:42:15          20.34
2022-01-12/06:42:45          17.14
2022-01-12/06:43:15          19.41
2022-01-12/06:43:45          24.83
2022-01-12/06:44:15          15.97
2022-01-12/06:44:45          20.32
2022-01-12/06:45:15          21.21
2022-01-12/06:45:45          31.86
2022-01-12/06:46:15          26.74
2022-01-12/06:46:45          27.25
2022-01-12/06:47:15          28.21
2022-01-12/06:47:45          30.82
2022-01-12/06:48:15          40.12
2022-01-12/06:48:45          31.41
2022-01-12/06:49:15          18.76
2022-01-12/06:49:45          17.38
2022-01-12/06:50:15          22.83
2022-01-12/06:50:45          38.14
2022-01-12/06:51:15          16.00
2022-01-12/06:51:45          10.59
2022-01-12/06:52:15          18.18
2022-01-12/06:52:45          9.501
2022-01-12/06:53:15          8.619
