Time                    Mshell    R         MagLat    MLT       
     2022-01-12/01:07:30     10.93     10.92    0.8891     20.02
     2022-01-12/01:07:40     10.92     10.92    0.8750     20.02
     2022-01-12/01:07:50     10.92     10.92    0.8609     20.02
     2022-01-12/01:08:00     10.92     10.91    0.8468     20.02
     2022-01-12/01:08:10     10.92     10.91    0.8327     20.02
     2022-01-12/01:08:20     10.91     10.91    0.8186     20.02
     2022-01-12/01:08:30     10.91     10.91    0.8045     20.02
     2022-01-12/01:08:40     10.91     10.90    0.7904     20.02
     2022-01-12/01:08:50     10.91     10.90    0.7763     20.02
     2022-01-12/01:09:00     10.90     10.90    0.7622     20.02
     2022-01-12/01:09:10     10.90     10.90    0.7482     20.02
     2022-01-12/01:09:20     10.90     10.90    0.7341     20.02
     2022-01-12/01:09:30     10.90     10.89    0.7200     20.02
     2022-01-12/01:09:40     10.90     10.89    0.7060     20.02
     2022-01-12/01:09:50     10.89     10.89    0.6919     20.02
     2022-01-12/01:10:00     10.89     10.89    0.6779     20.02
     2022-01-12/01:10:10     10.89     10.88    0.6639     20.02
     2022-01-12/01:10:20     10.89     10.88    0.6498     20.02
     2022-01-12/01:10:30     10.88     10.88    0.6358     20.02
     2022-01-12/01:10:40     10.88     10.88    0.6218     20.02
     2022-01-12/01:10:50     10.88     10.88    0.6078     20.02
     2022-01-12/01:11:00     10.88     10.87    0.5938     20.02
     2022-01-12/01:11:10     10.87     10.87    0.5798     20.02
     2022-01-12/01:11:20     10.87     10.87    0.5658     20.02
     2022-01-12/01:11:30     10.87     10.87    0.5518     20.02
     2022-01-12/01:11:40     10.87     10.86    0.5378     20.02
     2022-01-12/01:11:50     10.86     10.86    0.5238     20.02
     2022-01-12/01:12:00     10.86     10.86    0.5099     20.02
     2022-01-12/01:12:10     10.86     10.86    0.4959     20.02
     2022-01-12/01:12:20     10.86     10.86    0.4820     20.02
     2022-01-12/01:12:30     10.85     10.85    0.4680     20.02
     2022-01-12/01:12:40     10.85     10.85    0.4541     20.02
     2022-01-12/01:12:50     10.85     10.85    0.4401     20.02
     2022-01-12/01:13:00     10.85     10.85    0.4262     20.02
     2022-01-12/01:13:10     10.85     10.84    0.4123     20.02
     2022-01-12/01:13:20     10.84     10.84    0.3984     20.02
     2022-01-12/01:13:30     10.84     10.84    0.3845     20.02
     2022-01-12/01:13:40     10.84     10.84    0.3706     20.02
     2022-01-12/01:13:50     10.84     10.83    0.3567     20.02
     2022-01-12/01:14:00     10.83     10.83    0.3428     20.02
     2022-01-12/01:14:10     10.83     10.83    0.3289     20.02
     2022-01-12/01:14:20     10.83     10.83    0.3150     20.02
     2022-01-12/01:14:30     10.83     10.83    0.3012     20.02
     2022-01-12/01:14:40     10.82     10.82    0.2873     20.02
     2022-01-12/01:14:50     10.82     10.82    0.2735     20.02
     2022-01-12/01:15:00     10.82     10.82    0.2596     20.02
     2022-01-12/01:15:10     10.82     10.82    0.2458     20.02
     2022-01-12/01:15:20     10.82     10.81    0.2320     20.02
     2022-01-12/01:15:30     10.81     10.81    0.2182     20.02
     2022-01-12/01:15:40     10.81     10.81    0.2044     20.02
     2022-01-12/01:15:50     10.81     10.81    0.1905     20.02
     2022-01-12/01:16:00     10.81     10.81    0.1768     20.02
     2022-01-12/01:16:10     10.80     10.80    0.1630     20.02
     2022-01-12/01:16:20     10.80     10.80    0.1492     20.02
     2022-01-12/01:16:30     10.80     10.80    0.1354     20.02
     2022-01-12/01:16:40     10.80     10.80    0.1217     20.02
     2022-01-12/01:16:50     10.79     10.79    0.1079     20.02
     2022-01-12/01:17:00     10.79     10.79   0.09416     20.02
     2022-01-12/01:17:10     10.79     10.79   0.08042     20.02
     2022-01-12/01:17:20     10.79     10.79   0.06669     20.02
     2022-01-12/01:17:30     10.79     10.79   0.05297     20.02
     2022-01-12/01:17:40     10.78     10.78   0.03925     20.02
     2022-01-12/01:17:50     10.78     10.78   0.02555     20.02
     2022-01-12/01:18:00     10.78     10.78   0.01185     20.02
     2022-01-12/01:18:10     10.78     10.78 -0.001833     20.02
     2022-01-12/01:18:20     10.77     10.77  -0.01551     20.02
     2022-01-12/01:18:30     10.77     10.77  -0.02918     20.02
     2022-01-12/01:18:40     10.77     10.77  -0.04284     20.02
     2022-01-12/01:18:50     10.77     10.77  -0.05649     20.02
     2022-01-12/01:19:00     10.76     10.76  -0.07014     20.02
     2022-01-12/01:19:10     10.76     10.76  -0.08377     20.02
     2022-01-12/01:19:20     10.76     10.76  -0.09740     20.02
     2022-01-12/01:19:30     10.76     10.76   -0.1110     20.02
     2022-01-12/01:19:40     10.76     10.76   -0.1246     20.02
     2022-01-12/01:19:50     10.75     10.75   -0.1382     20.02
     2022-01-12/01:20:00     10.75     10.75   -0.1518     20.02
     2022-01-12/01:20:10     10.75     10.75   -0.1654     20.02
     2022-01-12/01:20:20     10.75     10.75   -0.1790     20.02
