time                             Energy            Daa
2022-01-12/01:31:15          5.232 0.0002835
2022-01-12/01:31:15          6.521 0.0001866
2022-01-12/01:31:15          8.126 0.0001172
2022-01-12/01:31:15          10.11 7.188e-05
2022-01-12/01:31:15          12.59 7.240e-05
2022-01-12/01:31:15          15.68 5.206e-05
2022-01-12/01:31:15          19.53 3.818e-05
2022-01-12/01:31:15          24.32 2.749e-05
2022-01-12/01:31:15          39.23 1.127e-05
2022-01-12/01:31:15          46.73 8.053e-06
2022-01-12/01:31:15          56.30 5.563e-06
2022-01-12/01:31:15          67.84 3.925e-06
2022-01-12/01:31:15          81.77 3.021e-06
2022-01-12/01:31:15          98.36 3.032e-06
2022-01-12/01:31:15          118.6 2.318e-06
2022-01-12/01:31:15          142.9 1.647e-06
2022-01-12/01:31:15          171.8 1.156e-06
2022-01-12/01:31:15          206.7 8.418e-07
2022-01-12/01:31:15          247.6 6.081e-07
2022-01-12/01:31:15          295.9 5.717e-07
2022-01-12/01:31:15          353.2 4.897e-07
2022-01-12/01:31:15          421.5 3.888e-07
2022-01-12/01:31:15          504.2 3.269e-07
2022-01-12/01:31:15          605.4 2.653e-07
2022-01-12/01:31:15          731.8 2.213e-07
2022-01-12/01:31:15          972.3 1.684e-07
2022-01-12/01:31:45        0.03075     0.000
2022-01-12/01:31:45        0.03242     0.000
2022-01-12/01:31:45        0.04127     0.000
2022-01-12/01:31:45        0.05200     0.000
2022-01-12/01:31:45        0.06481     0.000
2022-01-12/01:31:45        0.08088     0.000
2022-01-12/01:31:45         0.1005     0.000
2022-01-12/01:31:45         0.1256     0.000
2022-01-12/01:31:45         0.1565     0.000
2022-01-12/01:31:45         0.1950 2.739e-08
2022-01-12/01:31:45         0.2432 3.237e-07
2022-01-12/01:31:45         0.3030 1.395e-06
2022-01-12/01:31:45         0.3776 2.711e-06
2022-01-12/01:31:45         0.4700 6.943e-06
2022-01-12/01:31:45         0.5855 3.457e-05
2022-01-12/01:31:45         0.7291 5.415e-05
2022-01-12/01:31:45         0.9078 5.935e-05
2022-01-12/01:31:45          1.129 5.690e-05
2022-01-12/01:31:45          1.406 4.920e-05
2022-01-12/01:31:45          1.751 3.960e-05
2022-01-12/01:31:45          2.180 0.0002004
2022-01-12/01:31:45          2.715 0.0004617
2022-01-12/01:31:45          3.375 0.0004252
2022-01-12/01:31:45          4.202 0.0003394
2022-01-12/01:31:45          5.232 0.0002445
2022-01-12/01:31:45          6.521 0.0001619
2022-01-12/01:31:45          8.126 0.0001084
2022-01-12/01:31:45          10.11 7.036e-05
2022-01-12/01:31:45          12.59 8.195e-05
2022-01-12/01:31:45          15.68 6.252e-05
2022-01-12/01:31:45          19.53 4.895e-05
2022-01-12/01:31:45          24.32 3.655e-05
2022-01-12/01:31:45          39.23 1.679e-05
2022-01-12/01:31:45          46.73 1.248e-05
2022-01-12/01:31:45          56.30 8.873e-06
2022-01-12/01:31:45          67.84 6.210e-06
2022-01-12/01:31:45          81.77 4.434e-06
2022-01-12/01:31:45          98.36 3.910e-06
